project,domain,mean_auto,stratum
rsmpi,hpc,0.542,hpc/mid
dealii,hpc,0.542,hpc/mid
blis,hpc,0.583,hpc/strong
amrex,hpc,0.667,hpc/strong
horovod,hpc,0.875,hpc/strong
Trilinos,hpc,0.792,hpc/strong
kokkos,hpc,0.875,hpc/strong
mpich,hpc,0.458,hpc/weak
Arraymancer,hpc,0.458,hpc/weak
precice,hpc,0.417,hpc/weak
taskflow,hpc,0.458,hpc/weak
OpenFermion,qc,0.542,qc/mid
ProjectQ,qc,0.542,qc/mid
pennylane-qiskit,qc,0.542,qc/mid
cuda-quantum,qc,0.542,qc/mid
qiskit-machine-learning,qc,0.667,qc/strong
qutip,qc,0.583,qc/strong
qiskit-aer,qc,0.583,qc/strong
rustworkx,qc,0.667,qc/strong
qiskit,qc,0.667,qc/strong
Quirk,qc,0.333,qc/weak
ReCirq,qc,0.417,qc/weak
ScaffCC,qc,0.208,qc/weak
qibo,qc,0.458,qc/weak
