project,category,signal,covered_by,verified_value
Arraymancer,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
Arraymancer,Identity & access infrastructure,mfa_on_channel_admins,,
Arraymancer,Identity & access infrastructure,channel_admin_transfer,,
Arraymancer,Communication channels,official_channel_statement,,
Arraymancer,Communication channels,impersonation_reporting,,
Arraymancer,Knowledge infrastructure,disclosure_depth,,
Arraymancer,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
Arraymancer,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
Arraymancer,Distribution metadata,provenance_attestation,SLSA; Sigstore,
OpenFermion,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
OpenFermion,Identity & access infrastructure,mfa_on_channel_admins,,
OpenFermion,Identity & access infrastructure,channel_admin_transfer,,
OpenFermion,Communication channels,official_channel_statement,,
OpenFermion,Communication channels,impersonation_reporting,,
OpenFermion,Knowledge infrastructure,disclosure_depth,,
OpenFermion,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
OpenFermion,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
OpenFermion,Distribution metadata,provenance_attestation,SLSA; Sigstore,
ProjectQ,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
ProjectQ,Identity & access infrastructure,mfa_on_channel_admins,,
ProjectQ,Identity & access infrastructure,channel_admin_transfer,,
ProjectQ,Communication channels,official_channel_statement,,
ProjectQ,Communication channels,impersonation_reporting,,
ProjectQ,Knowledge infrastructure,disclosure_depth,,
ProjectQ,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
ProjectQ,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
ProjectQ,Distribution metadata,provenance_attestation,SLSA; Sigstore,
Quirk,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
Quirk,Identity & access infrastructure,mfa_on_channel_admins,,
Quirk,Identity & access infrastructure,channel_admin_transfer,,
Quirk,Communication channels,official_channel_statement,,
Quirk,Communication channels,impersonation_reporting,,
Quirk,Knowledge infrastructure,disclosure_depth,,
Quirk,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
Quirk,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
Quirk,Distribution metadata,provenance_attestation,SLSA; Sigstore,
ReCirq,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
ReCirq,Identity & access infrastructure,mfa_on_channel_admins,,
ReCirq,Identity & access infrastructure,channel_admin_transfer,,
ReCirq,Communication channels,official_channel_statement,,
ReCirq,Communication channels,impersonation_reporting,,
ReCirq,Knowledge infrastructure,disclosure_depth,,
ReCirq,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
ReCirq,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
ReCirq,Distribution metadata,provenance_attestation,SLSA; Sigstore,
ScaffCC,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
ScaffCC,Identity & access infrastructure,mfa_on_channel_admins,,
ScaffCC,Identity & access infrastructure,channel_admin_transfer,,
ScaffCC,Communication channels,official_channel_statement,,
ScaffCC,Communication channels,impersonation_reporting,,
ScaffCC,Knowledge infrastructure,disclosure_depth,,
ScaffCC,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
ScaffCC,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
ScaffCC,Distribution metadata,provenance_attestation,SLSA; Sigstore,
Trilinos,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
Trilinos,Identity & access infrastructure,mfa_on_channel_admins,,
Trilinos,Identity & access infrastructure,channel_admin_transfer,,
Trilinos,Communication channels,official_channel_statement,,
Trilinos,Communication channels,impersonation_reporting,,
Trilinos,Knowledge infrastructure,disclosure_depth,,
Trilinos,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
Trilinos,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
Trilinos,Distribution metadata,provenance_attestation,SLSA; Sigstore,
amrex,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
amrex,Identity & access infrastructure,mfa_on_channel_admins,,
amrex,Identity & access infrastructure,channel_admin_transfer,,
amrex,Communication channels,official_channel_statement,,
amrex,Communication channels,impersonation_reporting,,
amrex,Knowledge infrastructure,disclosure_depth,,
amrex,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
amrex,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
amrex,Distribution metadata,provenance_attestation,SLSA; Sigstore,
blis,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
blis,Identity & access infrastructure,mfa_on_channel_admins,,
blis,Identity & access infrastructure,channel_admin_transfer,,
blis,Communication channels,official_channel_statement,,
blis,Communication channels,impersonation_reporting,,
blis,Knowledge infrastructure,disclosure_depth,,
blis,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
blis,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
blis,Distribution metadata,provenance_attestation,SLSA; Sigstore,
cuda-quantum,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
cuda-quantum,Identity & access infrastructure,mfa_on_channel_admins,,
cuda-quantum,Identity & access infrastructure,channel_admin_transfer,,
cuda-quantum,Communication channels,official_channel_statement,,
cuda-quantum,Communication channels,impersonation_reporting,,
cuda-quantum,Knowledge infrastructure,disclosure_depth,,
cuda-quantum,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
cuda-quantum,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
cuda-quantum,Distribution metadata,provenance_attestation,SLSA; Sigstore,
dealii,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
dealii,Identity & access infrastructure,mfa_on_channel_admins,,
dealii,Identity & access infrastructure,channel_admin_transfer,,
dealii,Communication channels,official_channel_statement,,
dealii,Communication channels,impersonation_reporting,,
dealii,Knowledge infrastructure,disclosure_depth,,
dealii,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
dealii,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
dealii,Distribution metadata,provenance_attestation,SLSA; Sigstore,
horovod,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
horovod,Identity & access infrastructure,mfa_on_channel_admins,,
horovod,Identity & access infrastructure,channel_admin_transfer,,
horovod,Communication channels,official_channel_statement,,
horovod,Communication channels,impersonation_reporting,,
horovod,Knowledge infrastructure,disclosure_depth,,
horovod,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
horovod,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
horovod,Distribution metadata,provenance_attestation,SLSA; Sigstore,
kokkos,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
kokkos,Identity & access infrastructure,mfa_on_channel_admins,,
kokkos,Identity & access infrastructure,channel_admin_transfer,,
kokkos,Communication channels,official_channel_statement,,
kokkos,Communication channels,impersonation_reporting,,
kokkos,Knowledge infrastructure,disclosure_depth,,
kokkos,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
kokkos,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
kokkos,Distribution metadata,provenance_attestation,SLSA; Sigstore,
mpich,Identity & access infrastructure,multi_maintainer,"Scorecard (Code-Review/Contributors, partial)",
mpich,Identity & access infrastructure,mfa_on_channel_admins,,
mpich,Identity & access infrastructure,channel_admin_transfer,,
mpich,Communication channels,official_channel_statement,,
mpich,Communication channels,impersonation_reporting,,
mpich,Knowledge infrastructure,disclosure_depth,,
mpich,Distribution metadata,signed_releases,Scorecard (Signed-Releases); Sigstore,
mpich,Distribution metadata,sbom,Scorecard (SBOM); SLSA,
mpich,Distribution metadata,provenance_attestation,SLSA; Sigstore,
